Number of Layers,Number of Neurons per Layer,Activation Function,Learning Rate,Optimizer,Batch Normalization,Regularization,Test Accuracy
2,64,relu,0.001,Adam,True,True,0.8568999767303467
2,64,relu,0.001,Adam,True,False,0.8658999800682068
2,64,relu,0.001,Adam,False,True,0.8489999771118164
2,64,relu,0.001,Adam,False,False,0.8766000270843506
2,64,relu,0.001,SGD,True,True,0.7728999853134155
2,64,relu,0.001,SGD,True,False,0.8136000037193298
2,64,relu,0.001,SGD,False,True,0.6676999926567078
2,64,relu,0.001,SGD,False,False,0.7221999764442444
2,64,relu,0.01,Adam,True,True,0.8503999710083008
2,64,relu,0.01,Adam,True,False,0.8611999750137329
2,64,relu,0.01,Adam,False,True,0.7523999810218811
2,64,relu,0.01,Adam,False,False,0.8651999831199646
2,64,relu,0.01,SGD,True,True,0.8313999772071838
2,64,relu,0.01,SGD,True,False,0.8587999939918518
2,64,relu,0.01,SGD,False,True,0.7985000014305115
2,64,relu,0.01,SGD,False,False,0.8345999717712402
2,64,sigmoid,0.001,Adam,True,True,0.8428999781608582
2,64,sigmoid,0.001,Adam,True,False,0.8687000274658203
2,64,sigmoid,0.001,Adam,False,True,0.8443999886512756
2,64,sigmoid,0.001,Adam,False,False,0.8719000220298767
2,64,sigmoid,0.001,SGD,True,True,0.7828999757766724
2,64,sigmoid,0.001,SGD,True,False,0.8057000041007996
2,64,sigmoid,0.001,SGD,False,True,0.4081000089645386
2,64,sigmoid,0.001,SGD,False,False,0.3955000042915344
2,64,sigmoid,0.01,Adam,True,True,0.8424000144004822
2,64,sigmoid,0.01,Adam,True,False,0.8554999828338623
2,64,sigmoid,0.01,Adam,False,True,0.8373000025749207
2,64,sigmoid,0.01,Adam,False,False,0.8644000291824341
2,64,sigmoid,0.01,SGD,True,True,0.8253999948501587
2,64,sigmoid,0.01,SGD,True,False,0.8420000076293945
2,64,sigmoid,0.01,SGD,False,True,0.5418000221252441
2,64,sigmoid,0.01,SGD,False,False,0.6366000175476074
2,128,relu,0.001,Adam,True,True,0.854200005531311
2,128,relu,0.001,Adam,True,False,0.8740000128746033
2,128,relu,0.001,Adam,False,True,0.8655999898910522
2,128,relu,0.001,Adam,False,False,0.8808000087738037
2,128,relu,0.001,SGD,True,True,0.8023999929428101
2,128,relu,0.001,SGD,True,False,0.8246999979019165
2,128,relu,0.001,SGD,False,True,0.6872000098228455
2,128,relu,0.001,SGD,False,False,0.742900013923645
2,128,relu,0.01,Adam,True,True,0.8608999848365784
2,128,relu,0.01,Adam,True,False,0.8719000220298767
2,128,relu,0.01,Adam,False,True,0.8046000003814697
2,128,relu,0.01,Adam,False,False,0.8611999750137329
2,128,relu,0.01,SGD,True,True,0.8458999991416931
2,128,relu,0.01,SGD,True,False,0.8636000156402588
2,128,relu,0.01,SGD,False,True,0.8123000264167786
2,128,relu,0.01,SGD,False,False,0.8335999846458435
2,128,sigmoid,0.001,Adam,True,True,0.8560000061988831
2,128,sigmoid,0.001,Adam,True,False,0.8712000250816345
2,128,sigmoid,0.001,Adam,False,True,0.8532000184059143
2,128,sigmoid,0.001,Adam,False,False,0.8758999705314636
2,128,sigmoid,0.001,SGD,True,True,0.7940000295639038
2,128,sigmoid,0.001,SGD,True,False,0.8140000104904175
2,128,sigmoid,0.001,SGD,False,True,0.5440999865531921
2,128,sigmoid,0.001,SGD,False,False,0.4717999994754791
2,128,sigmoid,0.01,Adam,True,True,0.8346999883651733
2,128,sigmoid,0.01,Adam,True,False,0.8335000276565552
2,128,sigmoid,0.01,Adam,False,True,0.8508999943733215
